feature,pearson_corr_with_target,abs_corr_with_target
Wind speed (m/s),0.9619502971165892,0.9619502971165892
Drive train acceleration (mm/ss),0.7962744768423046,0.7962744768423046
Gear oil inlet temperature (°C),-0.7859814546855487,0.7859814546855487
Transformer temperature (°C),0.7061792232165633,0.7061792232165633
"Current L2 / V, max (A)",0.6649926586188324,0.6649926586188324
Front bearing temperature (°C),0.6465193176300594,0.6465193176300594
Tower Acceleration y (mm/ss),0.6160451272763627,0.6160451272763627
"Reactive power, Standard deviation (kvar)",0.5979449522471421,0.5979449522471421
Nacelle temperature (°C),-0.554348531816835,0.554348531816835
"Wind speed, Standard deviation (m/s)",0.5335554198374994,0.5335554198374994
Gear oil temperature (°C),-0.5056808904242118,0.5056808904242118
Power factor (cosphi),-0.4854051684352113,0.4854051684352113
Temp. top box (°C),-0.47392811317233186,0.47392811317233186
"Power factor (cosphi), Min",-0.4642163298533207,0.4642163298533207
Generator bearing front temperature (°C),-0.40493889071139694,0.40493889071139694
"Power factor (cosphi), Max",-0.3710265652008127,0.3710265652008127
Stator temperature 1 (°C),0.3474469531304917,0.3474469531304917
"Gear oil temperature, Max (°C)",-0.3209580162760075,0.3209580162760075
Motor current axis 1 (A),0.30756781850466064,0.30756781850466064
Rear bearing temperature (°C),0.2747749907678006,0.2747749907678006
Rotor bearing temp (°C),0.2673771071372003,0.2673771071372003
"Blade angle (pitch position) A, Max (°)",0.2290083316917805,0.2290083316917805
Tower Acceleration X (mm/ss),0.19807625925704256,0.19807625925704256
Generator bearing rear temperature (°C),-0.1868675382316648,0.1868675382316648
"Generator bearing rear temperature, Std (°C)",-0.17706437384216722,0.17706437384216722
Long Term Wind (m/s),0.17290776454201914,0.17290776454201914
"Gear oil temperature, Standard deviation (°C)",0.1510218718808538,0.1510218718808538
Temperature motor axis 1 (°C),0.14597502493281808,0.14597502493281808
"Grid voltage, Standard deviation (V)",0.13394902658313299,0.13394902658313299
Motor current axis 2 (A),0.13216661898125384,0.13216661898125384
"Wind direction, Minimum (°)",0.13035696831010185,0.13035696831010185
Grid voltage (V),-0.12313925996243616,0.12313925996243616
Nacelle ambient temperature (°C),-0.11458963839750817,0.11458963839750817
"Generator RPM, Standard deviation (RPM)",0.11276983773937001,0.11276983773937001
"Voltage L1 / U, Standard deviation (V)",0.10670305266759152,0.10670305266759152
Voltage L1 / U (V),-0.10337239248925933,0.10337239248925933
"Wind direction, Standard deviation (°)",-0.1020000732605686,0.1020000732605686
"Hub temperature, min (°C)",-0.10193953071645433,0.10193953071645433
"Blade angle (pitch position) A, Min (°)",-0.10103696169574237,0.10103696169574237
Wind direction (°),0.09788075378659886,0.09788075378659886
"Voltage L1 / U, Min (V)",-0.08346250790021585,0.08346250790021585
"Nacelle position, Standard deviation (°)",0.054079207182826716,0.054079207182826716
Blade angle (pitch position) A (°),0.03402757336230499,0.03402757336230499
"Generator bearing front temperature, Std (°C)",0.027021384893900668,0.027021384893900668
"Hub temperature, standard deviation (°C)",0.022979263148131215,0.022979263148131215
Cable windings from calibration point,-0.01866567839461825,0.01866567839461825
"Nacelle temperature, Standard deviation (°C)",-0.013590111888068026,0.013590111888068026
"Grid frequency, Min (Hz)",-0.013403709999576257,0.013403709999576257
Vane position 1+2 (°),0.013375992508497086,0.013375992508497086
"Front bearing temperature, Standard deviation (°C)",-0.009613858755639608,0.009613858755639608
"Voltage L1 / U, Max (V)",0.008341531655656433,0.008341531655656433
Grid frequency (Hz),-0.005104463910541616,0.005104463910541616
"Grid frequency, Max (Hz)",0.003959093442832028,0.003959093442832028
"Grid frequency, Standard deviation (Hz)",0.003928205074456841,0.003928205074456841
Metal particle count,0.002540301980957321,0.002540301980957321
