feature,pearson_corr_with_target,abs_corr_with_target
Wind speed (m/s),0.9593338136679532,0.9593338136679532
Power factor (cosphi),-0.6941711402955087,0.6941711402955087
Transformer temperature (°C),0.6893705564279383,0.6893705564279383
"Current L2 / V, max (A)",0.6741094738528997,0.6741094738528997
Front bearing temperature (°C),0.6661703963493404,0.6661703963493404
Gear oil inlet temperature (°C),-0.6601959057732302,0.6601959057732302
"Power factor (cosphi), Min",-0.6381517177138546,0.6381517177138546
"Reactive power, Standard deviation (kvar)",0.5973495896186874,0.5973495896186874
Tower Acceleration y (mm/ss),0.5523804669803786,0.5523804669803786
"Wind speed, Standard deviation (m/s)",0.5315309264852938,0.5315309264852938
Generator bearing front temperature (°C),-0.465690933678147,0.465690933678147
Temp. top box (°C),-0.43973262487259696,0.43973262487259696
Nacelle temperature (°C),-0.4397169678445835,0.4397169678445835
Stator temperature 1 (°C),0.36668349143118556,0.36668349143118556
Generator bearing rear temperature (°C),-0.3175684689417166,0.3175684689417166
"Gear oil temperature, Standard deviation (°C)",0.31596076154463365,0.31596076154463365
Motor current axis 1 (A),0.28411717130767733,0.28411717130767733
Gear oil temperature (°C),-0.22621656388640626,0.22621656388640626
"Generator bearing rear temperature, Std (°C)",-0.20781642801306924,0.20781642801306924
"Blade angle (pitch position) A, Max (°)",0.1965516386361511,0.1965516386361511
Long Term Wind (m/s),0.16933015051642133,0.16933015051642133
"Front bearing temperature, Standard deviation (°C)",0.1647577269630253,0.1647577269630253
"Generator RPM, Standard deviation (RPM)",0.16036110396375766,0.16036110396375766
"Gear oil temperature, Max (°C)",-0.15046758183532508,0.15046758183532508
"Grid voltage, Standard deviation (V)",0.13934448371869615,0.13934448371869615
"Hub temperature, min (°C)",-0.13687709627054387,0.13687709627054387
Nacelle ambient temperature (°C),-0.13150716381975772,0.13150716381975772
"Wind direction, Standard deviation (°)",-0.12165043412031308,0.12165043412031308
Voltage L1 / U (V),-0.11891436164206552,0.11891436164206552
"Voltage L1 / U, Standard deviation (V)",0.11888384208082087,0.11888384208082087
Tower Acceleration X (mm/ss),0.11816265700566407,0.11816265700566407
"Blade angle (pitch position) A, Min (°)",-0.11422491733918802,0.11422491733918802
"Voltage L1 / U, Min (V)",-0.11095797146993625,0.11095797146993625
Temperature motor axis 1 (°C),0.10105611301321196,0.10105611301321196
